Sample,Channel 1 [V],Channel 2 [V],Channel 3 [V],Channel 4 [V]
0,-0.0064199452564647225,-0.01835225711497546,0.14542839257763446,0.49497542803923106
1,0.016605158389709666,0.011813986335482422,0.13246712363869736,0.47867085616808064
2,0.0067372568270635,0.005110376679825114,0.12274617193449452,0.47867085616808064
3,0.00015865578529938862,-0.015000452287146807,0.10330426852608887,0.5014972567876912
4,0.010026557347945556,-0.015000452287146807,0.10978490299555742,0.5014972567876912
5,-0.003130644735582667,-0.0082968426314895,0.09682363405662033,0.49497542803923106
6,0.010026557347945556,0.005110376679825114,0.0871026823524175,0.5112799999103815
7,-0.0064199452564647225,-0.0082968426314895,0.05793982723980901,0.5080190855361514
8,-0.009709245777346779,0.01851759599113973,0.048218875535606186,0.5080190855361514
9,0.026473059952355833,-0.004945037803660846,0.022296337657731976,0.5080190855361514
10,-0.019577147339992947,-0.0015932329758321928,0.022296337657731976,0.49497542803923106
11,0.003447956306181444,0.021869400818968383,0.006094751484060598,0.47540994179385054
12,0.010026557347945556,-0.015000452287146807,-0.00038588298540795374,-0.5126471135978659
13,0.02318375943147378,0.005110376679825114,-0.03278905533275071,-0.480037969855565
14,0.00015865578529938862,-0.021704061942804116,-0.04251000703695354,-0.49634254172671544
15,-0.003130644735582667,0.008462181507653769,-0.023068103628547883,-0.48982071297825525
16,0.0067372568270635,0.015165791163311074,-0.06843254491482774,-0.5224298567205561
17,-0.003130644735582667,0.011813986335482422,-0.09435508279270195,-0.49960345610094553
18,-0.003130644735582667,0.021869400818968383,-0.09435508279270195,-0.5093861992236358
19,0.00015865578529938862,0.0017585718519964608,-0.10407603449690478,-0.5028643704751756
20,-0.032734349423521165,-0.0015932329758321928,-0.1267582551400447,-0.5061252848494057
21,0.029762360473237888,-0.021704061942804116,-0.12351793790531043,-0.5061252848494057
22,0.013315857868827611,-0.015000452287146807,-0.14620015854845037,-0.5028643704751756
23,0.016605158389709666,0.0017585718519964608,-0.15916142748738746,-0.5028643704751756
24,-0.003130644735582667,0.0017585718519964608,-0.17536301366105886,-0.4865597986040252
25,-0.009709245777346779,-0.01835225711497546,-0.1948049170694645,-0.5061252848494057
26,0.02318375943147378,0.011813986335482422,-0.19156459983473023,-0.49960345610094553
27,-0.009709245777346779,0.008462181507653769,-0.22396777218207298,-0.49960345610094553
28,0.00015865578529938862,0.011813986335482422,-0.20452586877366732,-0.49308162735248534
29,0.00015865578529938862,-0.021704061942804116,-0.22396777218207298,-0.4865597986040252
30,-0.01628784681911089,0.005110376679825114,-0.2498903100599472,-0.49634254172671544
31,0.003447956306181444,0.025221205646797036,-0.2466499928252129,-0.49960345610094553
32,-0.003130644735582667,0.01851759599113973,-0.2369290411210101,-0.49960345610094553
33,-0.009709245777346779,-0.011648647459318155,-0.24016935835574435,-0.5093861992236358
34,0.003447956306181444,-0.051870305393262,-0.25313062729468144,-0.48982071297825525
35,0.010026557347945556,-0.02505586677063277,-0.28553379964202424,-0.519168942346326
36,0.00015865578529938862,0.015165791163311074,-0.2563709445294157,-0.49634254172671544
37,0.010026557347945556,0.011813986335482422,-0.25313062729468144,-0.4865597986040252
38,-0.003130644735582667,0.0017585718519964608,-0.2466499928252129,-0.49960345610094553
39,0.026473059952355833,0.015165791163311074,-0.24340967559047863,-0.519168942346326
40,0.016605158389709666,0.0017585718519964608,-0.24016935835574435,-0.519168942346326
41,0.016605158389709666,-0.0082968426314895,-0.24340967559047863,-0.4865597986040252
42,-0.003130644735582667,0.008462181507653769,-0.22720808941680726,-0.480037969855565
43,0.003447956306181444,0.025221205646797036,-0.23044840665154154,-0.49634254172671544
44,-0.022866447860875,-0.0082968426314895,-0.24016935835574435,-0.49634254172671544
45,-0.0064199452564647225,0.01851759599113973,-0.21424682047787016,-0.49634254172671544
46,0.019894458910591724,-0.015000452287146807,-0.21748713771260444,-0.519168942346326
47,0.003447956306181444,0.0017585718519964608,-0.19156459983473023,-0.4865597986040252
48,0.010026557347945556,-0.0015932329758321928,-0.1786033308957931,-0.515908027972096
